# 这是王文倩同学提供的自定义的椭球参数投影文件
#数据文件中的 # : , 均应为英文字符
#可以忽略0个空格的行
#可以忽略有多个空格的行
#CS 指定坐标系 BJ54 XA80 CGCS2000 WGS84 CS00 
#CS: BJ54
#CS: XA80
#CS: CGCS2000
#CS: WGS84
CS: CS00, 6379344.2960, 298.3  
# 此处利用系统默认角度数据格式为D.MMSS, 而且后设置角度格式，而将此处定义为106度25分
L0: 106.25
YKM: 500
N: 35

#FORMAT: BL or XY or BLXY or XYBL
FORMAT: BL

# 角度的单位， 默认为 D.MMSS
# ANGLE : DEGREE D.MMSSS RADIAN 
ANGLE: DEGREE

#点名, B, L
GPSⅠ072,	26.00397476,	106.3639197
GPSⅠ073,	26.00393592,	106.3600313
GPSⅠ074,	26.00167649,	106.3571714
GPSⅠ075,	25.99932602,	106.3515862
GPSⅠ076,	25.9958817	,    106.3479458
GPSⅠ077,	25.99455397,	106.344144
GPSⅠ078,	25.98964322,	106.3436391
GPSⅠ080,	25.98454134,	106.3450224
GPSⅠ081,	25.99423155,	106.4007957
GPSⅠ082,	25.68803171,	105.9337237
GPSⅠ083,	25.68239033,	105.9307129
GPSⅠ084,	25.67643098,	105.9302632
GPSⅠ085,	25.67297607,	105.932412
GPSⅠ086,	25.66954906,	105.9286805
GPSⅠ087,	25.66281419,	105.9244737
GPSⅠ088,	25.6370775	,    105.9169353
GPSⅠ089,	25.633051	    ,    105.9181608
GPSⅠ090,	25.62846476,	105.9195414
GPSⅠ091,	25.62574842,	105.915586
GPSⅠ092,	25.62064358,	105.9122199
GPSⅠ093,	25.61138568,	105.9042623
GPSⅠ094,	25.46757999,	105.7749784
GPSⅠ095,	25.46879001,	105.7690009
GPSⅠ096,	25.47138167,	105.7651079
GPSⅠ097,	25.47031368,	105.7605927
GPSⅠ098,	25.47152429,	105.7572705
GPSⅠ099,	25.47381886,	105.7626876
GPSⅠ100,	25.47743522,	105.7659485
GPSⅠ101,	25.48331921,	105.7708759
GPSⅠ102,	25.48714119,	105.7794606
GPSⅠ103,	25.38326121,	105.6838524
GPSⅠ104,	25.38536363,	105.6801623
GPSⅠ105,	25.38441442,	105.6763213
GPSⅠ106,	25.38641691,	105.6738989
GPSⅠ107,	25.39012656,	105.6684032
GPSⅠ108,	25.39109306,	105.6638043
GPSⅠ109,	25.48212278,	105.7886021
GPSⅠ110,	25.48680384,	105.7855512
GPSⅠ111,	25.46909709,	105.7578293
GPSⅠ112,	25.47280795,	105.7505448
GPSⅠ113,	25.458008	    ,    105.7389023
GPSⅠ114,	25.44494167,	105.7321888
GPSⅠ115,	25.44013202,	105.7352468
GPSⅠ116,	25.43460885,	105.7374696
GPSⅠ117,	25.4269373	,    105.7379702
GPSⅠ118,	25.4199092	,    105.7420156
GPSⅠ121,	25.41010535,	105.7045054
GPSⅠ122,	25.40981536,	105.7010262
GPSⅠ123,	25.40663255,	105.6975148
GPSⅠ124,	25.40444426,	105.6949669
GPSⅠ125,	25.40148627,	105.694176
GPSⅠ126,	25.40099108,	105.6890229
GPSⅠ127,	25.40491971,	105.7066788
GPSⅠ128,	25.40063866,	105.7056017
GPSⅠ129,	25.41007818,	105.7232826
GPSⅠ130,	25.40570212,	105.7267732
GPSⅠ131,	25.40323085,	105.7304368
GPSⅠ132,	25.4073502	,    105.7363679
GPSⅠ133,	25.41145944,	105.738932
GPSⅠ134,	25.41669915,	105.7407037
GPSⅠ135,	25.39509854,	105.7050935
GPSⅠ136,	25.39224869,	105.7033499
GPSⅠ137,	25.38875276,	105.7028329
GPSⅠ138,	25.38610574,	105.698356
GPSⅠ139,	25.3855695	,    105.6935325
GPSⅠ140,	25.38388246,	105.6882051
GPSⅠ141,	25.3939861	,    105.6602611
GPSⅠ142,	25.39798866,	105.6858112
GPSⅠ143,	25.3952284	,    105.680769
GPSⅠ144,	25.39647499,	105.6781403
GPSⅠ145,	25.39669439,	105.6724158
GPSⅠ146,	25.39747224,	105.6679626
